Hospital,username,review,stars_given,Branch location,Time
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Deepti Bobba,"Dr.UMA JYOTHI is my doctor throughout my pregnancy journey it's really a blessing to any patient to be treated by her. Shes is always with positive vibes , Smooth handling, Lots of patience, No unnecessary suggestions or scaring patients , always motivate us to give our best and the result is mine was normal delivery .We r blessed with baby girl of 3.16kg and her whole supporting staff did their best. Undoubtedly go with this doctor if you are pregnant.Waiting time will be more as she will have lot of patients but Waiting is Worth infinity.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Afzal khan,"Visiting Rainbow hospital hydernagar from past 3 years ,Dr.Neelima is a very professional pediatrics, she treats kids in a polite way.Coming to the management,  hospital services are good but expensive .The staff are very helpful and kind towards patients and attendersThe Op billing should improve little cause waiting in que for 15min is not acceptableGood housekeeping ,neat and hygine environmentGuest relation manager will be assisting and helpful if we have any queries .Overall good experience thank u Rainbow",4.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",SANDEEP KUMAR,"The administrative staff is just too arrogant, they have no regard or respect for the patients or their valuable time. They are just outrightly rude.",1.0,Telangana 500072,5 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Uday kiran reddy NB,Consulted Dr. Chandra Sekhar for my baby high fever and he treated well. Good service and care provided by nurses.Swaroopa 2nd floor coordinator provided great service and guided well. Even provided the 48 hour report to WhatsApp as requested.😊,5.0,Telangana 500072,11 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Subbu Aynavilly,"Really worst and pathetic experience we have here for our kid. OP was taken care by seniors and rest of the things are taken care by junior doctors who even don't know how to keep sylin to kid. The staff is really worst.They will charge 700 for 1day patient food though we r interested or not. It's mandatory for everyone.They will collect 11k per sharing room where they keep all patients separated by curtains only.2nd floor incharge asked me to write this Google feedback,since she herself marked  my feedback ( fully rated)genuinely during ourdischarge.Don't waste your penny here, better you can have best care takers (doctors) in plenty in our city.This is genuine review. Don't waste your money here it's completely a trap.No quality of treatment, only high-tech drama.",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",t.skandha Mitra,Best hospital. Best doctors Dr.uma Jyothi & Dr.Pallavi maddukuri. Best guest relation manager- Samreen.,5.0,Telangana 500072,5 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Abhisilpa Tummala,Consulted Dr. PALLAVI CHALASANI mam. Very good doctor. She is very simple and gentle in behavior. She explained everything clearly during our first Consulting.We feel so blessed to have her as our doctor .,5.0,Telangana 500072,11 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Soma Sekhar,Came here for sister's delivery. Our family arrived at 11:45AM.Caesarean delivery was planned & done at 3 PM.We weren't given room until 12:20AM next day till then. we had to wait at OPD sitting area i.e 12 hrs waiting with our luggage. On top of that there are only 2 washrooms with one commode in each.Good patient care with 1 star  conveniences. No ports for mobile charging too.,1.0,Telangana 500072,9 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",satya kompella,Hydernagar branch :The worst service you received for the money you paid.. normal hospital is far better than this.. you need to wait more n more time though you have prior appointment also you need to wait lot of time to give just blood sample. Don't come here just thinking that you will receive best hospitality.,1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",sairaj Jawaji,"We have travelled all the way from nizamabad to rainbow hospital thinking it would have great doctors and care for patients.But all my opinion has changed when I met Dr chaitanya for consultation. A complete insensitive, unprofessional and rude doctor. I will never visit the hospital again and would stop anyone from visiting that hospital again. She had no intention to understand a patient problem nor in desire  to help the patient. Just understand what I had gone through , I have travelled 200 Kms up and 200 kms down , spent 1100 rupees as consultation and waited 2:30 hours and all I got was shouting...such a waste",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Naresh D,"My appointment was with Dr. Chandra Shekhar Koyala Konda for my 3 years old son. He is the worse Doctor I have ever met in my life so far. He charges INR 900 for consultation and does not even spend 2 minutes with the patient. I have seen 5 patients been addressed by him in less than 10 minutes and all those parents were discussing and complaining the same. He is not even ready to listen to the health issues which the patient is going through. Pure corporate/business mindset and looks like he is just bothered on the count of patients he attends in a day, rather than spending and addressing the patients issues. This is no more a hospital, but just a business platform to make money out of it.On the same day, few other parents were also complaining that nurses in the sample collection section are not taking the samples properly, may be due to their negligence or not been well-trained. To take blood sample they are injecting in several places of babies and kids, instead of a single spot. This is a basic thing they need to know when addressing the children.Overall it is very very pathetic service and definitely would not  recommend this corporate hospital to anyone.",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Divya Charugulla,I consulted doctor  Shanti Sneha Golla.And delivered a baby girl.She is very patient in answering all the queries and I personally feel she is very good in giving treatment and smooth delivery.,5.0,Telangana 500072,8 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",suma bommisetti,Have to give 0 rating..no doctor available at the time of admission..one kid came with head damage for stitching also no doctor available..for my kid   also for emergency they charged 1500 and then for doing nothing they charge 200 extra...,1.0,Telangana 500072,7 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Santi Anu,Had a pleasant experience and quick visit with out patient. Everyone was friendly and welcoming Thanks to Dr.Spurthi reddy & Samreen,5.0,Telangana 500072,6 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Navyasmini Dasari,"I have undergone IVF process with infertility problem.Dr.Pallavi Chalasani at Rainbow Hospitals treated me with the right cause and very kind towards the patient. She is very patient in listening and understanding the patients problem and she has vast knowledge on infertility treatments.Chandana, assistant of Pallavi Chalasani is very helpful, understanding and cooperative all over the visits and scans at the hospital.Thank you so much  Dr.Pallavi Chalasani for helping me conceive after so many infertility issues.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Praneeth Ravikanti,We have visited rainbow hydernagar for my son's Dental issue. Dr Abhinaya Reddy Tupalli treatment is excellent and very cooperative with kids. And assistant (Chandrakala) also explained post treatment procedure very well.  Thanks to all.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",monica chawan,"The consultation has been great with Dr. Pallavi chalasani, the best doctor in Hyderabad i have met so far. The doctor is very polite and provides curated solution based on best possibility and lifestyle. Hana and Chandana from the staff has been very understanding and cooperative.Thank you all for such a delightful experience with less hassle.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Laxmi Kiran,"We are extremely greatful to doc kavita sakumari mam. She has been a great advisor to us for monitoring our kid's growth. Congenital thyroid is what very few parents might be aware of. Our kid has been diagnosed with it when she was 10 days old. New born screening test is very much important to be done for every new born kid. As we were tensed and with no idea of it, when went to mam, she helped us with complete awareness of the problem and the possible tests to be done. With proper diet, a happy-go environment for our kid, and timely tests, today we are happy to share that our kid is no more on medication. I would suggest Every parent to do new born screening tests, and nothing to worry with congenital thyroid as with proper medication and timely monitoring, kids can lead a healthy and normal life as well.",4.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Bhargavi Narashing,"I could have rated negative stars if the option was available Rainbow Hospital #hydernagar is like a beautifully looking death trap. We had The worst of the worst experience with the treating and non treating staff. Especially we are disgusted over the ER and Dr Vamsi Kiran Raidu. We rushed to the ER as my one month old son suddenly stopped breathing and didn't respond to any of us, the ER after listening to what all happened made us wait for an hour and told that the baby has to be admitted, upon asking what is the problem with the baby the doctor present over there said that we brought over the problem(he said that my son is a problem) and they have to work because of him (we failed to note down his name because of the situation we were then). Baby was shifted to NICU at around 1am, I was allowed to see him just once that night (understanding the so called NICU protocols I didn't put pressure over visiting my son). Next day Dr Vamsi Kiran Raidu was assigned to my son, at the time of consultation, the first words he spoke were what's the problem, we were shocked to hear that question as being a doctor he was supposed to say what he observed from my son's situation as he visited him before the counselling session we had with him, he was rude with his words when we asked the same that he was supposed to tell about my kid's situation. He said that my son had seizures and multiple tests have to be done to find out the reason, we agreed. Through out the 4 days my kid's stay in NICU we were allowed twice a day to see him, on the next counselling we were said that seizures are due to calcium and vitamin deficiency, and followed up with the treatment. But from the day 1 I as a mother I have been saying that my kid has difficulty in breathing as he makes whistling songs and grumpy sounds while breathing, and asked for chest, lungs examination but Dr Vamsi Kiran Raidu rejected it saying that I am over thinking and reminded me that I am not a doctor and he is the one with doctors knowledge. And talking about the NICU treatment, they were so negligent don't know what they were doing while my little one was wiggling and pulling out cannula, till date he has a large lump on back of his hand caused due to sudden pulling, my son has sensitive skin and shows strong reactions to gel diapers I told the staff at NICU not to use gel diapers and I'll provide with cotton diapers but don't know what they did with those diapers I gave they used some unknown diapers and caused him rashes over the bump area, and when I visited the NICU without pre intimation, I saw a pacifier taped to my son's mouth and a nurse sitting over her dsk and my son crying inside due to the irritation of being taped by pacifier.We were glad that the only good thing Rainbow did was assigning multiple specialists and one was the most humble madam sirisha on our visit with endocrinologist madam Sirisha said that baby has cold and phlegm and prescribed nebuliser.We were confused how Dr Vamsi Kiran Raidu refused baby didn't have cold and phlegm and how madam Sirisha said that baby is having cold and phlegm, hence we changed the hospitals.FYI has huge phlegm was deposited in chest and has cold and upon getting treated for it he is completely fineWe were charged 3.5lakhs for 4 days for nothing,According to my knowledge the doctor and hospitals are liable to be filed against for misdiagnosis and ill treating of the patientNever going to step in to Rainbow hospitals again. 🤬🤬🤬",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",ADLA DILIPKUMAR,I have admitted my son for a little surgery and the bill for 30 min procedure is 49k including all the charges but the surgery has not been done well by the doctor and nursing staff. Even the mistake is from there side they will charge amount on us.The worst thing in the hospital is ip billing team In initial state at the joining time they will tell you the procedure charges after that the charges will be vary according to the situation and they will include whatever they want that includes in the bill.Whenever we will go and ask the billing team they will tell us to ask nursing staff and they will say we don't know about the billing matter. I also called MOD but they are not lifting up the call of the patient.Overall they will give priority to money not about the patient and financial situation of the person.  The management will loot from the patient.One of the worst hospital and experience in my life I have never met before.,1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Katam Reddy,Reception desk is pretty too slow.....  Had to wait 30 mins in the line just for payment...  And desk has six people' working continuously...,3.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Pavan Friend,"I am writing this review after my kid got discharged today, my kid admitted due to high fever with mayositis, he got joined in day care and recovered quickly with in 2.5 days. Doctors prescribed right medicine,Very cooperative staff to mention names soniya and Sumana , thank you so much for taking good care of all the kids.Negatives : food quality is not good. I observed that rice served to kids is not cooked properly. Quality of food is also less compared to other rainbow branches, and another point to mention hospital is very crowded and hard to find parking., No need to mention that rainbow is more than premium when it comes to billing.",4.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Poornima,"I didn't conceive for 7 years after seeing the reviews we consulted  ""Dr. Pallavi Chalasani mam"" she has given medication  for one month and conceived immediately. We are very very happy to consult her not only that she clears doubts with friendly nature and good Thank you mam😊The other staff members in her department are also so cooperative and having good environment . 😊😊😊",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Bhaskar Reddy,"We brought our child in very serious condition to rain bow hospitalWe admitted my child under Dr.shaikh Farhan a Rashid ,his treatment so goodHe saved life of my son.",5.0,Telangana 500072,7 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",HEMANTH PAVAN KUMAR,"Happy to share regarding my 32weeks GA child recovery under Dr.Vamsi Kiran sir. Thanks to the nursing staff, management, Anand sir, Prashanth sir, Jamuna madam . Thank you all...",5.0,Telangana 500072,9 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Sreeni Vas,"Had an excellent service from all the staff at Rainbow Hyderabad branch. We were guided and explained in well decent manner by some of the staff, especially Mr. Nasar(Lab services) and Mr. Ranjit in briefing and providing accurate information brought us great level of confidence. It was commendable to be treated in RCH, Hydernagar and we strongly recommend for any peadiatric related treatment. Thank you all.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Roshni Lokineni,Dr Pallavi Chalasani is extremely professional and explains the problem and possible solutions in most effective way which helps in choosing the right approach specific for the patient.All her staff are very helpful and responds to all queries in positive approach.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Jeevana Sadhu,"I went to this hospital just for a doctor named NIRAJ KRISHNA MURTHY Y who is very famous for normal deliveries.. though the doctor is good, I really had a bad experience at this hospital..My baby has born very healthy and became active within a day.. I'm trying to feed her the first 2 days but they suggested formula milk from day 1 saying that my milk is not sufficient.. due to formula milk my baby got digestion problems, vomitings and stomach became bulge.. they again played an act stating that baby got infection and kept her in NICU with Celine, tubes cannula and all.... performed many tests to find her problem and gave us counselling that she may be suffering with intestine twisting and needs surgery.. after performing all unnecessary tests they said everything is normal, she just need syrup to clear the stomach.. Just because of their money mind or inexperienced doctors my baby suffered in the NICU on the 3rd day of birth bearing all the syringe pains.. Does she really deserve all these?Such a disgusting act by such a reputed hospital.. all I can say is go at your own risk..",1.0,Telangana 500072,3 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",shravan kumar,Wonderful experience with Rainbow.We consulted Dr. Swapna pooskuri for my wife delivery. As my situation is bit different but mam treated with good observation  given good care and guidance through out the treatment .We are now blessed with a baby Girl. Thanks to Dr. Swapna mam.Thanks to Ms Samrin garu(front office gust relation executor).From day one Ms. Samrin answered all my queries and assisted well.Thank you all.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",suma M,Horrible waiting time and the admin staff is pathetic they never send you according to your appointment mix up order of files later make lame excuses same is the case with admin team the doctors are very good but the hospital earnt alot of bad reviews due to admins many patients have same complaint,1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Divya Rajendar,Dr. Uma Jyothi is one of the best doctors. I had my delivery here and doctor took utmost care throughout the journey and would respond to emergency messages even during odd hours. We had a wonderful experience with the doctor. Even the private room was neat and hospital staff took good care. Overall a very good experience.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Beechu G,"Very bad experience at hospital entrance only, they are charging Rs 11 for mask and it’s mandatory to have. Nobody cares if you wear or not once you are inside the hospital. A mask would cost Rs 2 if purchased in bulk.Pediatrician consultation is Rs 900, doctor will not spare even 5 mins to listen your problem. The moment you start saying your prob they start writing the medicine, nobody cares to find out the root cause. Earning money is the Moto. Would not recommend visiting this so called commercial hospitals.",1.0,Telangana 500072,11 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Indira,"My son is born in Rainbow hospital, hydernagar. My son (P. Vishaan Reddy) is 4.6 year old now. We have been visiting Dr Kavitha Sakamuri, Pediatrician for my son right from day one of his birth till date. It feels so amazing to visit the same doctor nearly for 5 years. The reason we haven't changed is Dr. Kavitha has advised the best for my son. She always gave natural tips for boosting immunity. Always treated with minimum medication without antibiotics. It gives us so much assurance whenever we visit this doctor and relieves all our worries.We wish to continue visiting Dr. Kavita only for all our future appointments since we feel she is the best suitable doctor for my son.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Srikanth Rayavarapu,"Doctor consultation is good. But management is fully commercial. All hospitals are commercial though but this one is a step ahead. The billing cycle, mandatory charges, persons clearing the file timings (insurance) were kept is such a way that for every person they will bill one day extra stating the reasons that insurance clearing will take time (but literally insurance company were clearing the files very fast). This is since they already have discounted prices tie ups with insurance providers and so it looks like they indirectly collect the discouts in this way. In addition as usual extra costs which insurance company disallow (Disallow by them means mostly those costs are not required for the treatment) will be collected from us.I approached private clinic of consulting doctor for getting saline since he was dehydrated on account of vomiting and motions. As suggested by him I visited Rainbow and when I met doctor in emergency he told unless admitted they cannot keep saline. So they have admitted my son. And it took 3 days for discharge.",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",sudhavena sruthi,We have great experience with Dr Uma Jyothi @ hydernagar branch during the first delivery dr took time and explained us about the normal deliveryNursing staff Drupatha response is great and supportive,5.0,Telangana 500072,8 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Kiran Kumar,"We have a best expérience at hydernagar Rainbow children hospital. Treatment and service are very good. Especially day care sisters service about child medication is extraordinay. I would like to express our gratitude to entire team (Dr. Dikshika Reddy, sister Soniya, Hema ans team.)  comparatively, a couple of years ago,  we have best expérience about Child care.  Wishing you all, keep it up...",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Bhargavi Baru,"Thanks to rainbow hospital for providing such a good service at right time, this is the place where we can believe that we can go home with smile while leaving hospital, they are extremely taking care with love and affection.I was approached Dr.Pallavi chalasani mam with the issue of conceiveing, she treated me well and she is the best doctor i have ever seen that she has lot of patience, very sharp right decision maker and guided me well and now it's a good news...yes my dream was fulfilled i was conceived, Thank you so much mam and it is very small word to tell you, it means a lot mam,  thank you chandana, mounica and sneha for your support.I would like to mention definitely about fetal medicine department also they have treated and supported me well, Thank you so much Dr. Gayatri mam for supporting and guiding us in a right way, she is the excellent doctor and thank you so much Swaroop fetal medicine for supporting me in every aspect, you are doing great job.Thank you so much for your great survice.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Rajitha Reddy,"Dr.kavitha sakhamuri is very best endocrinologist great treatment given by her , staff is very cooperative, frontoffice team is excellent in there services, GRE  Samreen is very friendly in her nature and helpfull with the services please do meet her for the queries everything is best and good .",5.0,Telangana 500072,10 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Sunkara Karthik,Newborn care was wonderful... The sisters in NICU was very professional and took good care of our new born like their own child... Doc Vamsi Kiran rayudu garu helped in recovery of baby and has guided us very transparently n professionally regarding condition of our baby ...,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",prasad reddy,"Visited here for my wife's delivery. They took very good care of the both mother and baby. They have waited almost 2 days for normal delivery without forcing for C-section unlike someother hospitals. Totally worth for the services and good care that they take. MICU team was very co-operative and nursing staff took very good care of the baby(needs little improvement in terms allowing mother/husband instead of only husband), Admin team were very appreciative of the improvements that we suggested. Overall very good experience.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Dinesh Kumar Raghu,"I have to thank you DR, Swapna Pooskuru madam from Rainbowhospital hydernagar..She treated my wife (Raghu Shravani) from 3rd month pregnency and my wife is having BP issues . Doctor monitored closely and finally after long wait delivery happend on April 21stMy wife got lot of complications everything went smooth because of swapna madamThank you again swapna madamI will highly recommend for swapna madam",5.0,Telangana 500072,11 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",ANK Creations 666,"We visited Dr Pallavi Chalasani garu for fertility issues last year. Madam took great care of us through out the treatment and we are now blessed with a baby boy. We thank  Dr Pallavi Chalasani maam from the bottom of our hearts for the precious gift we received with her help. We also thank the staff Chandana, Mounika, Ganesh, Sneha and Hannah who were very supportive all through the treatment.I would recommend Dr Pallavi Chalasani to many others in need.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Dinesh Raj,"Dr Niraj Sir is very good, explains well, and provides better treatment. thank you sir. My mother is now healthy and fine.Hospital staff is also very approachable and have properly coordinated (Roopa) during the stay.Nursing staff takes cares of patients on timely manner.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Saritha P,The worst dr. M v kiran Kumar teddy and staff ..my sister visited with her 8 years old daughter who was having 102 fever and was literally shaking..they denied treatment unless admitted in the hospital after taking 800+250 consultation fee (Rainbow stationery quite expensive ₹250 for a paper and folder ) and very nominal charge ₹ 800 consultation ( very cheap ) ..after paying doctor refused verbally to treat a kid of age 8 . What will be the feeling of a single mom who was sent out of hospital at time of 9:15 pm in search of another hospital for her baby.,1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Phanindra Str,"We are happily posting this review as we take this medium as an opportunity to thank the doctors and the nursing staff in Rainbow Children's Hospital, Hydernagar, who took care of my wife and our daughter.The service rendered by nursing staff is irreplaceable but in contrast it is very underrated, which should not prevail.We thank the doctors, nursing staff (especially NICU nursing staff - Subhashini sister, Sai pooja sister, Blessy sister), and the other hospital staff from the bottom of our hearts and we would never forget in our lives the help, the care you have taken.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",kandukuri mounika,"I recently visited Rainbow Children hospital for my niece checkup. The staff and doctors were cordial and helpful. The services that we  recieved from Dr. Vamsi Kiran Rayudu is excellent. I especially liked how the doctor really took his time to explain the medical conditions as well as my niece's treatment options.The hospital on a whole has a good environment and it's very clean and really one of a kind. Iam highly impressed at the treatment we  have recieved starting from the entrance at reception to the end. The medical coordinator named Sai Kumar was really helpful with the whole process, thanks to him .I had a great visit and doctor's demeanor has really put us at ease so I highly recommend this hospital.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",RAMANA MUKKUMALU,"We have visited rainbow Children Hospital . Doctors treated us like a family member and best gynic doctors are there in rainbow hospital and treatment was very helpful for us .And gynic op coordinator department was very helpful to us in hole journey of rainbow hospital.Meenakshi,jageshwari,Padma,likitha,Sai Sri . Thank you for gynic department coordinator and doctors",5.0,Telangana 500072,11 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Praveen Kumar,"Worst experience, we spend more moneyBut it look like high class treatment.There is no like this it's too worst.They will check our patience.Please find other better hospitals.",1.0,Telangana 500072,8 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Rasagna Varma,"1. No wallet parking.2. I doubt hospital is belongs to doctors secretaries, they behave like that.3. Waiting time is too long after taking appointments also. It will take min 1 hour to maximum 3 hours.Doctors are too good.but staff should learn how to take care of customers.",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Vamsi Krishna,We heartfully  thank Dr Santhi Sri madam for making my wife’s pregnancy journey safe and easy and she is one of the very very best Doctor in entire rainbow hospitals and also happy with the care taken by the staff in MICU. very thankful to Mr Kiran coordinator incharge for first Floor for helping us.And also special thanks to Mr Sai he helped me a lot in billing and insurance policies.I am very happy with rainbow services.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",RAMA KRISHNA REDDY S,"Maximum reviews are Self reviews with 5star.See consultation is good in hospitals by suggesting this that and do this that and soo on, while coming to reality they just prefer c-section by creating Something serious ness as i asked many people who have delivered recently maximum deliverys were C-section only, see normal delivery is depends on our fate, they will try to do c-section only, coming to prices everything is too costly, every lab test is minimum 3-5 times costlier than outside lab reports, and doctors maximum not interested to look outside lab reports, again they suggest us to give samples in hospital labs with smiley faces.Coming to hospital staff some staff will treat us like animals. They were interested to  use mobiles all the times, when we ask something there response is not good, why staff is using mobiles on duty?  First ban mobiles and treat patients in good manner then automatically you will get positive reviews.",1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",bhanu teja reddy,One of the pathetic service by Hydernagar branch. We initially took an appointment on 10th April -12:30pm. They postponed the schedule to 11th April -10:30am. We reached hospital at 10:25am. They made us to wait for an hour after an fixed appointment. It’s really an worst experience. The front office team are like helpless. PadmaSri from front desk is very helpless with reckless answers stating you just have to wait even after you’ve fixed appointments.,1.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",himanth nekkalapu,"Doctors and Staff nurses are excellent but MAINTANENCE of the hospital is tooooo worst there is no water in ICU bathroom and no water in room bathrooms, we are 3 days in Hospital we faced around 5 times water problem and no one is responding properly if you are not arguing with the hospital management.",1.0,Telangana 500072,7 months ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Pravallika Bhimavarapu,Dr. Pallavi chalasani is an incredible person. Where I personally felt very comfortable and happy being treated by her. As my situation is bit different i thought it is difficult for me to be conceived but mam made things a bit easy for me and made my dream possible. I m extremely happy and satisfied for her service and the care she and her team takes. I heartfully thank mam and her team... And I highly recommend people who r waiting for kids  for a long time....,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",rajasekhar reddy,"We went to Dr Umajyoti for my wife delivery, very happy with how Dr have helped us throughout the journey and post delivery as well. Overall happy with the hospital services and rooms are very hygienic and help is always just in reach.Thanks rainbow hospitals team for helping us at your best.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",shiv trader,"Good doctors,good facilities and good staff ... all in all a good hospital",4.0,Telangana 500072,a month ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Abhishek Chandu,Wonderful experience with Dr.Pallavi Chalasani (Hyderguda branch). She is an excellent doc and the staff was always helpful and kind. They ensured my wife had a smooth and natural conception.I am so glad we chose her and would highly recommend to anyone.,5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",revathy kannan,"Rainbow hospital Hydernagar branch is best children’s and gynaecologist hospital. Doctor Pallavi Chalasani, doctor Kavitha and doctor swapna helped me right from first trimester till the delivery. The other staffs Hannah, Chandana, mounika, Sneha also helped in coordinating with the doctor in case of any health issues. Thanks rainbow for helping us with healthy baby.",5.0,Telangana 500072,a year ago
"Rainbow Children’s Hospital & BirthRight, Hyder Nagar, Hyderabad - Best Maternity Hospital",Vamshi Krishna,Parking and fetal department size needs to be improved. Rest all services are excellent.,5.0,Telangana 500072,3 months ago
